hashtags:,#yucatan,#yucatecos,#gastronomiayucateca
tonyachach,18370971811088398,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajaja
emilianoabarca40k,18150478678432183,https://www.instagram.com/p/DTMIoBZjP-K/,no soy yucateco y me enojé 😂
leticia.ibarra.1257,18112290376620982,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂😂😂
_porrinsky_,17912549325273546,https://www.instagram.com/p/DTMIoBZjP-K/,Es que es imposible hacer esas comparaciones cuando vas del centro de l pais hacia allá jaja
cesvel2003,17905974876323231,https://www.instagram.com/p/DTMIoBZjP-K/,Jalenle su caaaabeeello
cari.rdzretana,18156254818424636,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
mporthela,18104396098705027,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
sanditzumy,17983302335947493,https://www.instagram.com/p/DTMIoBZjP-K/,Mentira no es pero acepto que la marquesita si es única
vickylara82,18112568239537068,https://www.instagram.com/p/DTMIoBZjP-K/,🤣🤣🤣🤣
sebastianelquecura,18035099537740235,https://www.instagram.com/p/DTMIoBZjP-K/,😮
yukylut_19,17995098350856757,https://www.instagram.com/p/DTMIoBZjP-K/,Mi hermana le intento poner queso 🧀 a la torta de cochinita…después no vivió para contarla que en paz descanse 🙏
alejordanguitar,17855894253544937,https://www.instagram.com/p/DTMIoBZjP-K/,"Ay no, con eso se enoja cualquiera."
a1200s,18104471143702288,https://www.instagram.com/p/DTMIoBZjP-K/,🤣🤣🤣
alejandro_grattarola,18037483526525154,https://www.instagram.com/p/DTMIoBZjP-K/,Le reseteo el Windows cuando le pidió la marquesita sin queso 🧀 😂😂😂😂
alexvargasvargas85,18163320169392949,https://www.instagram.com/p/DTMIoBZjP-K/,Cómo le cambia la cara 🤣🤣🤣
yo_soy_optimus_prim,18082577266908982,https://www.instagram.com/p/DTMIoBZjP-K/,😍😍😍 Me encantan tus cejas 🔥😍
florin_miriam,17930644062176264,https://www.instagram.com/p/DTMIoBZjP-K/,Una marquesita sin queso no es una marquesita 😢
xelipeg3,17880553326349328,https://www.instagram.com/p/DTMIoBZjP-K/,Entonces la marquesita puede o no llevar queso y se sigue llamando igual? Interesante 🤔
davidclementte,18083591324516646,https://www.instagram.com/p/DTMIoBZjP-K/,🤣🤣
is_villano,18032054342561759,https://www.instagram.com/p/DTMIoBZjP-K/,"Nuestra gastronomía es tan rica y basta que, un simple platillo o postre parece el platillo estrella de otros lugares del mundo!"
gizmo_marco,18091522951994679,https://www.instagram.com/p/DTMIoBZjP-K/,Y los vaporcitos son tamales!!!
hardrock_mx,17954084292050370,https://www.instagram.com/p/DTMIoBZjP-K/,No ma! Si hasta uno aca de chilango se calentó😂😂😂🤣🤣🔥🔥
chentemondragon,18299777356286476,https://www.instagram.com/p/DTMIoBZjP-K/,Diles “mayitas” y se súper encantonan
cj.antonio10,18071640158107932,https://www.instagram.com/p/DTMIoBZjP-K/,🗣️ BOMBAAAAA ‼️‼️
joelhernandez211076,18078043826194210,https://www.instagram.com/p/DTMIoBZjP-K/,Que pedo con la blusa arrugada..
suphoala,18069007118565219,https://www.instagram.com/p/DTMIoBZjP-K/,"Es que sí, 😂El panucho es un taco,"
timbermaze777,18071441720579157,https://www.instagram.com/p/DTMIoBZjP-K/,@totifruttt 😂 si?
gi0.rm,17935726671136228,https://www.instagram.com/p/DTMIoBZjP-K/,😎🤣🤣🤣
vince_de_zeita,18066027530205067,https://www.instagram.com/p/DTMIoBZjP-K/,Se enojan por eso 👉🏻👈🏻
elidamartinezrojas,18180147232366489,https://www.instagram.com/p/DTMIoBZjP-K/,😂🤣😂🤣😂
edinrequena,17903151978345065,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂
tonytirado,18066088439539687,https://www.instagram.com/p/DTMIoBZjP-K/,😂🤣😂
_.prubio,18109773844651369,https://www.instagram.com/p/DTMIoBZjP-K/,"Ten cuidado, de un cabezazo puede matarte 😮"
jessmo1708,18085517138112467,https://www.instagram.com/p/DTMIoBZjP-K/,Ajá pero de dónde son los panuchos y salbutes??
lalito_117,17889597645407944,https://www.instagram.com/p/DTMIoBZjP-K/,🤣
urburela,18192462601340989,https://www.instagram.com/p/DTMIoBZjP-K/,No soy yucateco... y me ofendió
chekete,18553268392018833,https://www.instagram.com/p/DTMIoBZjP-K/,Si son bien cerrados con sus antojitos
jano5210,18113137939612839,https://www.instagram.com/p/DTMIoBZjP-K/,"La comida yucateca no tiene nada de espectacular ni de sabrosa, es grasa más grasa más grasa."
marss.pei,18088951781061736,https://www.instagram.com/p/DTMIoBZjP-K/,De hecho la marquesita es más como waffle
alejandroreyesmx_,18036113195742467,https://www.instagram.com/p/DTMIoBZjP-K/,Como enojar a un yucateco: Jalarle el cabeiooo
calaverauncanny,18014113022816138,https://www.instagram.com/p/DTMIoBZjP-K/,Lo de la marquesita fue un ataque personal 😂
gilnavarrootero,17866519830455631,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂 sin queso 👏👏🤣🤣
dardalvarez,17996513510723114,https://www.instagram.com/p/DTMIoBZjP-K/,Dándoles un diccionario o un libro de como hablar correctamente!!!
dardalvarez,18085447448144622,https://www.instagram.com/p/DTMIoBZjP-K/,Que son los gallegos mexicanos!!!
dardalvarez,17874087060472186,https://www.instagram.com/p/DTMIoBZjP-K/,Diciéndole que su ajuste no procede!!!
crbucal,18010925645662161,https://www.instagram.com/p/DTMIoBZjP-K/,"Pelaná, jamás será eso, tu queso!"
otialvarado,18054818369372515,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂 ya quiero ir a Don Yucatán para hacer enojar a un yucateco
joed1_9,17961124079886568,https://www.instagram.com/p/DTMIoBZjP-K/,Y el poc chuc es una carne asada  y los huevos motuleños son huevos estrellados y así... Varias cosas con los yucas jajajaja
rodolfoescamilla3,18295854400279343,https://www.instagram.com/p/DTMIoBZjP-K/,😂
ferhdez,18557640274061128,https://www.instagram.com/p/DTMIoBZjP-K/,La verdad con queso no sabe bien jajaja
vandykpako,18342176920225723,https://www.instagram.com/p/DTMIoBZjP-K/,"Ahh si, hasta yo me enojé de la marquesina y no soy yucateco"
crystaltique_84,18384277648147262,https://www.instagram.com/p/DTMIoBZjP-K/,Puro sacrilegio!!!! No soy de Yucatan y tambien me enoje 😅
zurita_cynthia7,18001561646699902,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😍😍
marinev20,18029048747586826,https://www.instagram.com/p/DTMIoBZjP-K/,"Jajaj marquesitas con nutela , mmdas"
menonamx,18401834236120875,https://www.instagram.com/p/DTMIoBZjP-K/,Ah es queso bola es como el queso manchego jajajaja. Una vez la vendedora casi se la mienta al que dijo eso jajajaja
cheery._.moon,18374950717156280,https://www.instagram.com/p/DTMIoBZjP-K/,"Yo soy de CDMX pero golpeó a la gente cuando dice que su marquesita sin queso, eso es una blasfemia"
reveneuc,18119453416569683,https://www.instagram.com/p/DTMIoBZjP-K/,Que comida taaan ricaa 😍
m.etxeandia,18083136901924448,https://www.instagram.com/p/DTMIoBZjP-K/,Con las marquesitas no se metan!! 🔥
hectorsonivanowsky,18056617916673739,https://www.instagram.com/p/DTMIoBZjP-K/,La neta no le encuentro fallas a su lógica jajaja
ana_fdez_s,18090131840062765,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
optioneercallsnputs,18150995608380893,https://www.instagram.com/p/DTMIoBZjP-K/,Jalaleee suuu cAAAbeeshlloooo !!!!😅😂
alfonso_arroyoo,18320082742217497,https://www.instagram.com/p/DTMIoBZjP-K/,
jacquelinecastilloherrera,18333187717211862,https://www.instagram.com/p/DTMIoBZjP-K/,En todo tiene razon!! Menos en la sopa de lima!! Eso es lo mas delicioso del mundo!!
axcerberus,18383019142156500,https://www.instagram.com/p/DTMIoBZjP-K/,Hasta yo me enojé cuando pidió la crepa sin queso 😡
jackiegaruiz,18096473818925350,https://www.instagram.com/p/DTMIoBZjP-K/,Así nos enojó la yucateca a los norteños diciéndole JEB al H-E-B entre otras cosas
pepedejesus,18423360607115938,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
alehega01,18299494066287057,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂
nodiqa_07,18068103209158578,https://www.instagram.com/p/DTMIoBZjP-K/,Bro pero la sopa de lima es caldo de pollo con rebanadas de lima
armandor.t,18089864087050937,https://www.instagram.com/p/DTMIoBZjP-K/,Pobre princesa chaac
h4d3s8,18372460264083051,https://www.instagram.com/p/DTMIoBZjP-K/,Mentiras no dijo we
cesar_borboa,17897872242224849,https://www.instagram.com/p/DTMIoBZjP-K/,Mentiras no son
danielsespencer,17891618733403675,https://www.instagram.com/p/DTMIoBZjP-K/,Bomba lol xd
adrian.garcia.14019,17938613742107127,https://www.instagram.com/p/DTMIoBZjP-K/,"Faltó decir ""Bomba"" 😂"
mr.pmosh420,17958132464898963,https://www.instagram.com/p/DTMIoBZjP-K/,Se enojan por la verdad 😂😂😂 la última si se justifica 😂
fernando.h.16,17984527790928975,https://www.instagram.com/p/DTMIoBZjP-K/,Huy no con las marquesitas no te metas 👊
rodrigogarcia1109,18044565638505479,https://www.instagram.com/p/DTMIoBZjP-K/,"😂😂😂😂 no puedo con esto, oye esa crêpa se veía increíble 😉 😂😂"
eduardo.pizzano,18086459069277973,https://www.instagram.com/p/DTMIoBZjP-K/,Jalale el cabello y te escondes...😂😂😂
raptorcharger71,18124723294469954,https://www.instagram.com/p/DTMIoBZjP-K/,Mentira no es jajajaja
elizabethrdgez,18061591892296119,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
affordablegraphicssolutions,18557520901023969,https://www.instagram.com/p/DTMIoBZjP-K/,Y los Yucatecos son cabezudos 😂😂😂😂😂
eduardoandrescst,17858918508525133,https://www.instagram.com/p/DTMIoBZjP-K/,Pero solo si me das quesadillas sin queso. (Si me la da :|)
orlandoflogtz,18387162910197529,https://www.instagram.com/p/DTMIoBZjP-K/,No manches se me antojo todo jajaja
enr1que_va,17936492106000456,https://www.instagram.com/p/DTMIoBZjP-K/,Jajaja su cara 😂
mayayen21,18112036522715902,https://www.instagram.com/p/DTMIoBZjP-K/,"Hace poco fuimos y nos habían comentado que el pavo en escabeche se comía con pan, cuando el mesero nos ofreció tortillas hechas a mano y nosotros le pedimos pan primero nos vio con extrañeza y después nos preguntó: quieren pan troceado? Le dijimos que si y su cara de gusto no tuvo precio, nos vio como diciendo por fin, un turista que si hizo su tarea"
chavapack,18378257572154994,https://www.instagram.com/p/DTMIoBZjP-K/,Se humillan solos 😂
nofiltergoose,17964997211867758,https://www.instagram.com/p/DTMIoBZjP-K/,Diganle algo al pib 🔥🔥
biggie89,18081052934465869,https://www.instagram.com/p/DTMIoBZjP-K/,Bomba!!
julianmejia_91,17924296527202966,https://www.instagram.com/p/DTMIoBZjP-K/,Se enojan por nada 😂
ponzonoso_orozco,18076185653587603,https://www.instagram.com/p/DTMIoBZjP-K/,O si les dices que salbutes y panuchos son lo mismo
sombra_la_parka,17972926319822510,https://www.instagram.com/p/DTMIoBZjP-K/,Si iba a decir todo eso.😂
esteban13_lucio,17957510003898772,https://www.instagram.com/p/DTMIoBZjP-K/,Porque la crepa lleva queso? 😂
0livernr,17876510898466012,https://www.instagram.com/p/DTMIoBZjP-K/,Ponerle catsup a los panuchos 🤙🏽
blancaestela.delatejera,18113710621612921,https://www.instagram.com/p/DTMIoBZjP-K/,Se me antojó todo
yamilycalderonnice,18168046636391352,https://www.instagram.com/p/DTMIoBZjP-K/,"Te falto eres Yucateco, entonces hablas aporreado 🔥"
jmanuelcch,18075661391365489,https://www.instagram.com/p/DTMIoBZjP-K/,Le hubieras jalado el cabello!!!
tequiero.chela,17994204536906843,https://www.instagram.com/p/DTMIoBZjP-K/,😂
martinezlucio,18078012344260952,https://www.instagram.com/p/DTMIoBZjP-K/,Soy guerrerense y ni en cuenta todo lo qué menciona.
diegov.torresluna,18065703821229665,https://www.instagram.com/p/DTMIoBZjP-K/,Pero el Queso es bien rico
pepepecuervo,18054849776364164,https://www.instagram.com/p/DTMIoBZjP-K/,"Me acherdo cuando compre una marquesita en Guadalajara y no llevaba queso, si me indigné"
gabogarciadela,18086024330091048,https://www.instagram.com/p/DTMIoBZjP-K/,La marquesita es una crepa salada. . .🫢 🤣😂🤣😂
clariselics,17872263057493911,https://www.instagram.com/p/DTMIoBZjP-K/,Los pelos de la Marquesita 😂😂😂
luisdepuigdemont,18552541048059526,https://www.instagram.com/p/DTMIoBZjP-K/,Ah entonces el relleno negro es como moronga😂
freddy.garcia.1810,17869798428525112,https://www.instagram.com/p/DTMIoBZjP-K/,Diles: 'A ver lo veo' 🤣
marichuyriosortiz,17974415888978573,https://www.instagram.com/p/DTMIoBZjP-K/,"Jajaja mis respetos para los Yucatecos, vengo muy seguido a Mérida, me encanta, pero eso sí no ofendas sus comidas porque si se enojan!!"
bg90210messi26,18082692928900726,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂
chacalitofrefire,18083311310231361,https://www.instagram.com/p/DTMIoBZjP-K/,"Con un simple ,: me la pla"
by.jesusceme,17873811567398574,https://www.instagram.com/p/DTMIoBZjP-K/,Si me enoje con el último 🗿
victorenriquesilvarodriguez,18022155884794290,https://www.instagram.com/p/DTMIoBZjP-K/,Cómo va ser??
armandogalindo89,18130874968444766,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂
elierwho,17905147293335477,https://www.instagram.com/p/DTMIoBZjP-K/,No soy yucateco y me enojo que pidiera la marquesita sin queso :((((
chris_gin._,17990351459875487,https://www.instagram.com/p/DTMIoBZjP-K/,También jalar su capello 😔🤙🏼
nowhereman72,18077482061019802,https://www.instagram.com/p/DTMIoBZjP-K/,También diles que el pib no esta rico y arderá el mundo
reivfrank,18092289077496516,https://www.instagram.com/p/DTMIoBZjP-K/,Te falto el limón en la cochinita
alejandro_gutierrez_g_,18087135515275951,https://www.instagram.com/p/DTMIoBZjP-K/,Jajaja cuando le dije eso dela marquesita casi me avientan la marquesita en la cara😂😂😂😂
xmucanekuxtal,18097722523859165,https://www.instagram.com/p/DTMIoBZjP-K/,Todos fino Vicky 🔥 Yucatán no es como los demás😍
verorcscj,18561606388018061,https://www.instagram.com/p/DTMIoBZjP-K/,"Neta, eh?😡"
dvaldiviacazares,18526540720067962,https://www.instagram.com/p/DTMIoBZjP-K/,No soy yucateco y hasta yo me ofendí con lo de la marquesita sin queso 😒
liframe,18051646709691831,https://www.instagram.com/p/DTMIoBZjP-K/,"Jajaja te entiendo, chilangos ignorantes jajaja 😂"
checoeloy,17933350218014947,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajajajajaaajaja muy bueno
melyportillo,18179645641365193,https://www.instagram.com/p/DTMIoBZjP-K/,Soy😂
robbieonnekenobi,17866417167457204,https://www.instagram.com/p/DTMIoBZjP-K/,no encuentro falla en la lógica
tbnkhe,18306435421249782,https://www.instagram.com/p/DTMIoBZjP-K/,Simon y la cochinita es como birria pero de marrano 😂
joe.roblero,18117614977567395,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
es3_loco,17936886021130866,https://www.instagram.com/p/DTMIoBZjP-K/,Tantos idiomas y hablo con la verdad
albertiuxnava,18070864721122776,https://www.instagram.com/p/DTMIoBZjP-K/,Jajaja y sí se emputan😂😂
daniel_thop,18154154491422768,https://www.instagram.com/p/DTMIoBZjP-K/,"Te esforzarte mucho, la forma mas fácil de enojar a un Yucateco es jalandole el cabeio"
joseantonioramirezescalera,17854556511602589,https://www.instagram.com/p/DTMIoBZjP-K/,Y si
angieescorpio,18063262487261816,https://www.instagram.com/p/DTMIoBZjP-K/,Los papadzules 🫣🤢
uzzgiler.0023,18115996999580438,https://www.instagram.com/p/DTMIoBZjP-K/,Poquito más y queda como ofrenda de cenote
min_romero,18046006772492132,https://www.instagram.com/p/DTMIoBZjP-K/,Deja de hablar y pégale!!!!🔥
viiriis137,18084827984119647,https://www.instagram.com/p/DTMIoBZjP-K/,Ay lo siento pero si fui la de la Marquesita y sin queso 🧀 🫠 no me odien jajjajaa 🤣🤣🤣
saul_mend_ruiz,17951408532062719,https://www.instagram.com/p/DTMIoBZjP-K/,El queso es lo más sabroso!!!!
calizz290,17959201476018628,https://www.instagram.com/p/DTMIoBZjP-K/,Hasta yo me enojé 😂 el sabor culinario de yucatán es riquisiiiiiimo❤️
aqueques,18549958543010304,https://www.instagram.com/p/DTMIoBZjP-K/,Vaya no lo había pensado de esa manera pero tiene sentido a la hora de explicar
paco_glomar,17869078002438522,https://www.instagram.com/p/DTMIoBZjP-K/,Mérida es una joya pero la neta que te sirvan una milanesa asada es un insulto y las cosas como son todo lo demás esta excelente 🙌🏾
allfrith.perez,18078274292195574,https://www.instagram.com/p/DTMIoBZjP-K/,Mentira no es 👏👏😂
karlo0z.h3rnand3z,18017690396802221,https://www.instagram.com/p/DTMIoBZjP-K/,La comida es sagrada 😌
clauricaune,18122222314539293,https://www.instagram.com/p/DTMIoBZjP-K/,Los papadzules esencialmente son enchiladas de huevo.
joseolguin80,18091414673067092,https://www.instagram.com/p/DTMIoBZjP-K/,Jajaj quiero una marquesita x favor
tabibu_juha,18062701427268241,https://www.instagram.com/p/DTMIoBZjP-K/,El relleno negro es... MOLE! 👌🏻👌🏻🤤🤤
berbildegoma,17961991739877729,https://www.instagram.com/p/DTMIoBZjP-K/,"¡Aaah!, entonces la Cochinita Pibil es tinga de puerco 🐖🐷, 😅😂🤣"
edgardo.cruz.73,17849066916623575,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
azeneth.vegaz,17918815974090193,https://www.instagram.com/p/DTMIoBZjP-K/,@lizet.canche
jorgemartinrojas,18034755287540026,https://www.instagram.com/p/DTMIoBZjP-K/,Tu carita lo es todo!!!
connierodriguez5422,18086827255871617,https://www.instagram.com/p/DTMIoBZjP-K/,"Me pueden creer que acá en García NL afuera de una taquería se pone un señor con su carrito a vender marquesitas estilo Mérida? Irónico, porque soy de Tabasco y no así las he probado en mi vida😂😂😂😂😂😂😂"
basilisko_eve,18156190969423344,https://www.instagram.com/p/DTMIoBZjP-K/,"Wey, la sopa de lima que delicia"
juanito.fulanito.37,17957805599905611,https://www.instagram.com/p/DTMIoBZjP-K/,La sopa de lima es un caldo tlalpeño 🤔
mikael_angelo97,18068826020624043,https://www.instagram.com/p/DTMIoBZjP-K/,Cómo se llama la que no es marquesita?
copcolatte,18092181800480146,https://www.instagram.com/p/DTMIoBZjP-K/,Se me antojo todo y me hizo enojar también
jorge_alvt,18080737829517028,https://www.instagram.com/p/DTMIoBZjP-K/,“La mía sin queso”… con el acento más yucateco que he escuché en Mérida hahaha ahí se me cayó la ilusión xd
bi0_j0sh,17900451495205714,https://www.instagram.com/p/DTMIoBZjP-K/,Pues sí no?
benja._.mb,18076640495579673,https://www.instagram.com/p/DTMIoBZjP-K/,Tiene razón tu marido. Solo cambia el nombre. En el norte a la gordita se le llama empalme 🤷‍♂️
luistakeru,18114930631610738,https://www.instagram.com/p/DTMIoBZjP-K/,Ya me dió hambre jajajajaja
tonycortina8102,18076522163349099,https://www.instagram.com/p/DTMIoBZjP-K/,Yo quiero tambn quiero conocer una yucateca hermosa 😍
dall6799,18136949299486628,https://www.instagram.com/p/DTMIoBZjP-K/,"Nadaremos, Nadaremos 🎤"
agrodolce12,18083648678134335,https://www.instagram.com/p/DTMIoBZjP-K/,Papatzules❤️❤️❤️🙌🔥🔥🔥😍😍😍
raykud,17851755204603020,https://www.instagram.com/p/DTMIoBZjP-K/,Porque el papadzul tenía como chorizo encima ?🧐
freddysancheznavidad,18012347909814136,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
edgarstarrduarte,18177735298371299,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂😂
isaac.astro_01,17906316846315711,https://www.instagram.com/p/DTMIoBZjP-K/,Lo mas delicioso del mundo es una Marquesita..... original con queso....
taniasanchezruvalcaba,17925239967195915,https://www.instagram.com/p/DTMIoBZjP-K/,Ya de plano el manoton jajaja 😂
alaraizaa,17958334128037283,https://www.instagram.com/p/DTMIoBZjP-K/,Un yucateco enojado = TT en internet 🫶🏼
ignaciolopez5030,18320163313223460,https://www.instagram.com/p/DTMIoBZjP-K/,Es verídico 😂 por favor perdónanos yucatan a todos los del norte 👏
lalo.silva.m,18061783052294922,https://www.instagram.com/p/DTMIoBZjP-K/,O no me gusta el queso de bola!
evandiaz86,18083498225141362,https://www.instagram.com/p/DTMIoBZjP-K/,Las Crepas no Llevan 🧀😂
rocco_estanislao,18107144476677004,https://www.instagram.com/p/DTMIoBZjP-K/,Efectividad 💯
sue_torres,18084480200467848,https://www.instagram.com/p/DTMIoBZjP-K/,No le encuentro fallas a su lógica
albaguadalupe155,17851426923614629,https://www.instagram.com/p/DTMIoBZjP-K/,Cómo crees que las marquesitas van a ser crepas????
arturozentenoavila,18076471124033400,https://www.instagram.com/p/DTMIoBZjP-K/,Pero ponle mayonesa a la torta  de cochinita
bazar_carlitos,18081238228959323,https://www.instagram.com/p/DTMIoBZjP-K/,Te faltó  haaa! Los mayas son guatemaltecos?
alegrechristian27,18083053124167262,https://www.instagram.com/p/DTMIoBZjP-K/,"Se ve tierna con su Marquesita, como una niña"
edith_sotelo03,18357116299162103,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajajaja jjaa jajajajaa a mi tampoco me gusta el queso de las marquesitas 😔😔😔😔😔😔
wi.lo.94,18067847201174996,https://www.instagram.com/p/DTMIoBZjP-K/,"La expresión de las enchiladas, me mato de risa 😂"
sucastellanos,18113532229612222,https://www.instagram.com/p/DTMIoBZjP-K/,Donde se come todo eso??
nubikari.hurtadi,18551075824055460,https://www.instagram.com/p/DTMIoBZjP-K/,A mi tampoco me gusta el queso en la marquesita 🤢 yo la pido sin queso y me sabe a crepas jeje
max2.0231,17928547401173859,https://www.instagram.com/p/DTMIoBZjP-K/,Las empanadas que son quesadillas fritas te faltó
fdo_mx,18001331141842298,https://www.instagram.com/p/DTMIoBZjP-K/,Soy más chilango que una guajolota y me emperré con lo de la sopa de lima. 😡
danisa_ku,18120368062562737,https://www.instagram.com/p/DTMIoBZjP-K/,La marquesita original solo lleva queso de bola 😌
mariza.calderon,18356807206206608,https://www.instagram.com/p/DTMIoBZjP-K/,Si amiga rómpele su mandarina en gajos! Como se atreveeeeeeee! Pos este que se creee¡
brenrdzf,18087017900471644,https://www.instagram.com/p/DTMIoBZjP-K/,❤️
ammtzr1989,18143903200459623,https://www.instagram.com/p/DTMIoBZjP-K/,"Déjame adivinar, el tipo que la pidió sin queso era chilango , verdad ?"
0scar_romero_casique,17940416846984823,https://www.instagram.com/p/DTMIoBZjP-K/,Una chulada la comida Yucateca 🫰🏽
lu.gomme.92,18070244633433098,https://www.instagram.com/p/DTMIoBZjP-K/,Y si todo lo que dice es similar 😂 yo siempre pido mi mariquita con fresa 🍓 queso de bola 🧀 y cajetitaa uuuuf mi combo favorito 😍
veroprinces,18066512780392857,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂
glory_macias,18014537837807135,https://www.instagram.com/p/DTMIoBZjP-K/,"Una marquesita sin queso , x fas ..."
q1na,18274600522304876,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
merolpot,17862675204559932,https://www.instagram.com/p/DTMIoBZjP-K/,Es que no mamen
yosoybichis,18558078847047235,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂 El final
jm3lanco,17906966013307239,https://www.instagram.com/p/DTMIoBZjP-K/,Pero es la vdd
san_jotape,17956900113023361,https://www.instagram.com/p/DTMIoBZjP-K/,La marquesita sin queso es como pedir un hot dog sin salchicha 🙃
odora_7,18328837594245033,https://www.instagram.com/p/DTMIoBZjP-K/,Es que sí son
ale_yail,18069724415421349,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajajaja o cuando los jijos le ponen MAYONESA MAAAAYYOOONEEESAAAAA a la bendita torta de cochinita 🤬🤬🤬🤬🤬
espadas.clau,18036627227741972,https://www.instagram.com/p/DTMIoBZjP-K/,@carlos03mayorga  eres tu
unmkines,18093928358313246,https://www.instagram.com/p/DTMIoBZjP-K/,
roy_paz,17880207855352456,https://www.instagram.com/p/DTMIoBZjP-K/,(se enoja en yucateco)
moonzter,17932704942164966,https://www.instagram.com/p/DTMIoBZjP-K/,"Estoy en Mérida y la comida me confundió pero estaba rico todo , a todo le decía tostada y mi mamá le dijo jotkei a la marquesita"
cinemaniaca_86,18032446427751070,https://www.instagram.com/p/DTMIoBZjP-K/,"Una compañera de Yuca un día nos invitó a si casa a comer comida yucateca e hizo Sikil Pak y cuando nos lo dio dijimos ay que rico frijoles, y ella así 😡😡😡 fijo son son frijoles, ya no explicó y al final les pusimos frijoles yucatecos 🤣🤣🤣🤣🤣🤣🤣🤣🤣"
aanconam,18086209016115127,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajajajajaja 👏👏👏
arlesbustos,18354233506203034,https://www.instagram.com/p/DTMIoBZjP-K/,
arte__sangre,18109839688727303,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂 por eso tienen su bandera
jesusonof,18129886591514032,https://www.instagram.com/p/DTMIoBZjP-K/,Diciéndole la verdad ok
renus_vivendus,18381622060146080,https://www.instagram.com/p/DTMIoBZjP-K/,"We el día que le dije a un amigo la tienes que pedir queso es la original y el sabor único, se le ocurre pedir una queso Filadelfia y decirme que estaba buenísima, yo estaba 😡😡😡"
lopezmariaauxilio,18116928661584720,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
naye_luff,18088639517052158,https://www.instagram.com/p/DTMIoBZjP-K/,No soy yucateca pero eso de la marquesita sin queso no es marquesita
agueliz,18304215115251744,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
mustafa__luna,17906147715166764,https://www.instagram.com/p/DTMIoBZjP-K/,Ok quiero probar todo 😮😮
artealejandra1,17948893452073910,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂pensé q sólo yo decía eso😂😂😂😂
josefer_mr.mx,17961800933881215,https://www.instagram.com/p/DTMIoBZjP-K/,"Pues sí es todo eso, nada más que estilo yucateco y más rico eso sí🤭😋"
armany_cs,17997052457892583,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
ronvonmises,18091508512791525,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
marceg26,18097977391860540,https://www.instagram.com/p/DTMIoBZjP-K/,"Enchiladas de Huevito 😅
Y el pastel que no tenga queso bola por favor 🙈🙊"
marcopimentelp,18122108428541291,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajjajajajajja
aracelicabada,18095180948501201,https://www.instagram.com/p/DTMIoBZjP-K/,Quiero todo! Pero marquesita sin queso 🤭🤭
esarquiz,18123456430481608,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
gustavsky_87,18062076836278393,https://www.instagram.com/p/DTMIoBZjP-K/,Creí que era el único ue usaba la camisas arrugadas 😅
lorilinda,18101321164836185,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
maria.joaquina1401,17980340936794802,https://www.instagram.com/p/DTMIoBZjP-K/,No soy fan de las crepas soy más de elotes jaja pero confieso que cuando probé una marquesita original taba muy buena 🤩
jesuukiaa,18064656641234009,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂Los panuchos 😂😂😂
juan_carlos_g.l,18063657479560421,https://www.instagram.com/p/DTMIoBZjP-K/,😂
aaroncatzim,18095597767913484,https://www.instagram.com/p/DTMIoBZjP-K/,Es regio o chilango? Como que sin queso 😂
humberto_runner89,17980323995941309,https://www.instagram.com/p/DTMIoBZjP-K/,Si son 😂😂😂😂
